,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abidjan_CotedIvoire,2977.6953,2919.8943,2817.7302,2730.7798,2716.1277,2712.5684,2701.002,2693.9153,2705.1265,2733.026,2726.2886,2546.9067,2752.9895,2934.4868,3108.426,3289.988,3340.8882,3412.9163,3640.5847,3838.2366
Accra_Ghana,2272.71,2306.186,2349.7551,2408.9775,2478.564,2557.4268,2651.389,2695.8838,2867.7175,2930.9534,3083.8674,3430.8574,3659.2388,3833.7905,3894.0044,3953.2102,3787.7258,3880.613,4131.044,4386.0
Amman_Jordan,10701.497,11038.064,11419.88,11588.795,12190.425,12698.204,13138.722,13543.01,13809.358,13861.65,13537.412,13385.131,13279.197,13236.847,13276.216,13272.987,13013.197,13835.34,14100.26,14302.546
Antigua_Guatemala,19318.719,18388.092,18675.605,19566.33,20395.482,21414.23,24016.31,26007.824,25735.715,22388.957,20567.36,19987.924,20577.293,20297.3,21061.867,21615.307,22841.232,22827.451,24843.469,26376.06
Beirut_Lebanon,12335.027,12347.569,12173.69,11961.314,12317.429,12258.125,12239.164,13297.112,14422.301,15632.688,16277.731,15683.583,14946.132,14045.984,13471.813,13117.251,14147.969,15188.497,15693.576,15264.291
Chandigarh_India,7417.136,8180.604,8814.53,9610.054,10643.257,11463.495,12639.25,12887.361,12899.876,13578.681,14666.142,15432.654,16090.774,16943.605,17949.395,19076.13,20365.887,21542.377,23226.58,24275.576
Chattanooga_US,40464.184,40638.46,41450.156,42463.42,43365.19,43935.33,44048.906,44102.96,43105.703,42095.19,43039.754,43396.13,44024.47,44351.945,45075.43,45808.2,46699.156,48351.938,50684.59,52532.277
City of North Little Rock_US,34225.28,35200.035,35707.02,37149.83,38389.332,39070.14,39360.72,40406.77,40342.23,39957.652,40431.805,40766.586,41356.855,41664.484,42344.133,43032.496,43869.465,45422.098,47613.406,49349.137
Colorado Springs_US,51527.438,52149.57,51707.46,51632.8,52764.207,54409.004,55161.26,55061.367,54238.152,51585.117,52128.13,52559.758,53320.78,53717.406,54593.664,55481.164,56560.258,58562.043,61387.266,63625.113
Dakar_Senegal,1923.9097,1960.8369,1922.1228,1996.0463,2056.6375,2114.0632,2108.2126,2153.0447,2171.6436,2162.0513,2187.1921,2159.023,2185.0464,2191.0898,2215.216,2287.6685,2370.3708,2471.0261,2615.1912,2710.6638
Delhi_India,6485.274,6669.5884,6758.316,7103.123,7670.848,8451.338,9086.23,9693.865,10102.564,11135.789,12200.322,12837.961,13385.431,14094.876,14931.562,15868.859,16941.768,17920.455,19321.494,20194.121
Detroit_US,44574.434,44286.2,44541.043,45766.508,45488.71,45452.805,44691.863,44358.137,43321.77,41801.043,42784.63,43138.89,43763.508,44089.043,44808.24,45536.66,46422.336,48065.32,50384.145,52220.88
El Paso_US,43219.008,43048.652,42633.53,43312.95,44553.676,46590.207,47266.35,47810.75,48633.867,45492.82,46522.766,46907.98,47587.17,47941.145,48723.184,49515.246,50478.305,52264.836,54786.26,56783.473
Eugene_US,43555.59,43144.535,43856.633,44716.652,45319.742,45660.37,46488.11,46331.246,45923.188,44205.305,44760.305,45130.926,45784.387,46124.953,46877.363,47639.42,48565.996,50284.848,52710.75,54632.3
Honolulu_US,44004.367,43237.457,44496.883,45615.9,47542.062,49180.58,50240.004,51481.17,50972.562,50568.074,51209.92,51633.95,52381.566,52771.207,53632.03,54503.9,55563.984,57530.51,60305.965,62504.4
Indianapolis_US,41631.61,41342.047,41912.32,43111.168,43713.152,43674.465,43756.902,43360.63,42838.07,41533.074,41881.215,42227.996,42839.426,43158.082,43862.098,44575.137,45442.11,47050.402,49320.266,51118.215
IslaSaoNicolau_CaboVerde,3803.2603,3813.2166,3942.596,4042.632,4394.924,4646.812,4975.405,5694.3345,6041.0796,5929.418,5970.929,6147.9746,6143.632,6129.6714,6219.778,6295.9014,6646.9536,6985.1826,7394.3545,7872.881
Kano_Nigeria,1834.8638,1840.8584,1837.0302,1950.3342,2510.4365,2500.3574,2605.9075,2682.0884,2746.9446,2860.025,3002.681,3065.886,3112.1733,3193.2302,3305.5908,3305.2644,3192.3743,3167.8882,3224.4194,3273.4485
Kansas City_US,42277.484,42240.344,43104.52,44184.414,44978.953,45234.016,45559.844,45778.36,46329.547,45004.24,45354.37,45729.91,46392.043,46737.13,47499.523,48271.695,49210.566,50952.23,53410.332,55357.383
Kupang_Indonesia,2007.3652,2014.1166,2020.5791,2013.2703,1990.987,1963.1235,2008.829,2116.0383,2088.0623,2212.1792,2348.5112,2460.1108,2573.7,2681.4663,2780.9028,2879.029,2953.271,3082.6465,3287.687,3481.6638
Los Angeles_US,50645.047,49997.5,50114.93,51140.05,52818.63,54319.242,55612.668,55688.996,54020.855,51476.68,52398.04,52831.902,53596.867,53995.547,54876.344,55768.438,56853.117,58865.27,61705.117,63954.555
Louisville_US,37577.46,37411.1,38056.08,38524.285,39365.895,39950.895,40230.04,40177.375,39918.69,39771.938,39829.12,40158.91,40740.383,41043.426,41712.945,42391.047,43215.54,44745.03,46903.67,48613.527
Manila_Philippine,4686.0693,4625.642,4594.217,4622.512,4736.8066,4783.973,4878.302,5070.8833,4779.4375,4682.4985,5503.5635,5617.39,5898.9473,6214.944,6491.8066,6762.2476,7229.394,7596.792,8132.0913,8639.82
MbabaneCity_Swaziland,6853.4336,6861.51,6935.507,7053.3657,7213.1284,7324.7944,7474.9287,7623.3203,7676.437,7641.4204,7642.0986,7620.197,7728.2856,7835.669,7910.835,7930.358,7845.154,7591.43,7894.935,8188.6016
Memphis_US,40464.184,40638.46,41450.156,42463.42,43365.19,43935.33,44048.906,44102.96,43105.703,42095.19,43039.754,43396.13,44024.47,44351.945,45075.43,45808.2,46699.156,48351.938,50684.59,52532.277
Nairobi_Kenya,9260.866,9136.696,8720.957,8509.337,8466.052,8475.09,8786.574,9141.192,8920.174,8970.332,9464.449,9773.739,9944.627,10229.497,10493.887,10801.136,11553.239,12377.057,13119.09,13761.704
NewYorkCity_US,52493.21,52328.047,52174.043,53024.81,55357.39,57652.93,59696.754,61670.176,60656.367,58360.43,59894.047,60389.977,61264.38,61720.09,62726.89,63746.61,64986.46,67286.47,70532.586,73103.82
Omaha_US,43346.36,44028.074,44495.414,46803.195,47396.008,47821.582,47460.574,48827.59,49592.67,48189.98,48725.227,49128.676,49840.023,50210.754,51029.812,51859.375,52868.023,54739.137,57379.926,59471.69
Philadelphia_US,45655.438,45258.246,46271.938,47211.152,48203.598,48692.516,49539.45,50167.914,49933.96,49168.39,50043.984,50458.355,51188.953,51569.72,52410.945,53262.96,54298.91,56220.664,58932.93,61081.305
Sacramento_US,50645.047,49997.5,50114.93,51140.05,52818.63,54319.242,55612.668,55688.996,54020.855,51476.68,52398.04,52831.902,53596.867,53995.547,54876.344,55768.438,56853.117,58865.27,61705.117,63954.555
San Diego_US,50645.047,49997.5,50114.93,51140.05,52818.63,54319.242,55612.668,55688.996,54020.855,51476.68,52398.04,52831.902,53596.867,53995.547,54876.344,55768.438,56853.117,58865.27,61705.117,63954.555
Singapore_Singapore,51636.22,49783.383,51408.777,54486.453,58946.855,61889.527,65297.34,68339.76,65956.46,63610.793,72017.91,74910.18,75777.38,78046.234,79550.9,80191.54,82461.38,87877.03,92833.66,94442.64
Springfield_US,57949.793,58332.883,58280.73,58873.562,60535.152,61844.92,63704.49,64631.758,63718.164,62054.69,63231.62,63755.188,64678.312,65159.418,66222.33,67298.87,68607.81,71035.984,74462.99,77177.51
Tacoma_US,49138.004,48625.73,48756.414,49581.35,51545.66,51563.387,53003.36,54375.74,54147.297,52144.742,52490.484,52925.11,53691.426,54090.81,54973.16,55866.83,56953.42,58969.125,61813.984,64067.387
Tema_Ghana,2272.71,2306.186,2349.7551,2408.9775,2478.564,2557.4268,2651.389,2695.8838,2867.7175,2930.9534,3083.8674,3430.8574,3659.2388,3833.7905,3894.0044,3953.2102,3787.7258,3880.613,4131.044,4386.0
Tokyo_Japan,55166.816,56001.242,55398.89,56172.723,60065.047,60927.984,61647.89,62270.203,60720.062,56466.785,59113.28,58957.844,60101.98,61022.66,61102.723,61475.418,61021.723,62295.23,63305.703,63595.36
