,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,11652.963,11423.416,10224.429,10973.429,12149.17,13535.364,14942.712,16369.312,17007.502,16953.62,18569.68,20316.105,20611.408,21294.941,21464.795,20860.521,21072.541,24447.271,24128.295,23832.652
Austria,38790.617,39255.543,39698.67,39645.945,40342.26,40865.59,42105.305,43474.914,44012.953,42202.742,42917.703,43959.22,44080.395,44171.59,44011.74,44046.008,46534.38,47833.293,50489.316,52964.75
Barbados,14437.504,14045.82,14119.939,14380.776,14537.388,15073.145,15869.285,16074.114,16077.271,15365.334,15346.808,15401.55,15389.6875,15339.406,15319.512,15425.736,15835.211,15669.049,15850.152,16084.214
Belgium,36525.348,36634.59,37130.887,37345.477,38531.414,39086.695,39805.133,40837.72,40814.723,39539.77,40227.977,40390.1,40414.586,40213.426,40548.688,40985.9,43113.19,44763.473,46705.727,49601.523
Bosnia_and_Herzegovina,6368.7056,6528.7734,7075.001,7445.254,7871.3394,8578.692,9041.907,9526.972,9575.935,9292.676,9357.87,9433.989,9347.008,9662.88,9779.65,10107.479,10996.337,11608.922,12636.723,13776.0
Brazil,11317.742,11374.054,11570.501,11542.571,12040.642,12265.082,12598.354,13220.606,13750.59,13603.448,14509.536,14914.104,15057.581,15371.103,15253.397,14541.945,14062.589,14329.691,14815.337,15230.612
Bulgaria,8772.572,9453.289,10193.885,10805.937,11645.326,12456.878,13346.257,14642.642,15609.177,15078.228,15210.176,15547.347,16509.496,16821.691,17187.924,17808.598,19836.701,21230.834,22829.6,24978.326
Canada,37448.617,37783.79,38735.62,39043.62,39875.836,40769.613,41523.57,42083.137,42017.867,40288.523,41088.227,41959.06,42288.34,42728.33,43307.31,43399.863,45044.55,46833.367,48461.586,48539.355
Chile,14852.666,15105.358,15202.558,15718.267,16536.795,17247.41,17791.262,18495.697,18895.822,18504.725,19351.584,20252.148,21224.666,21840.031,22063.576,22286.408,23153.365,24192.535,25340.682,25381.95
China,4078.8765,4350.8906,4712.3384,5153.246,5629.911,6216.0835,6938.615,7842.155,8505.523,9163.757,10107.486,10990.395,11867.3955,12685.322,13504.329,14313.478,14933.803,15757.97,17084.13,18297.945
Colombia,8371.315,8329.911,8439.936,8641.285,9043.887,9348.059,9830.211,10398.915,10648.854,10690.92,11012.584,11610.619,11954.494,12402.565,12889.024,13160.311,13732.1045,14081.833,14882.758,15492.124
Croatia,15972.119,16638.535,17344.67,18303.193,18993.057,19714.889,20707.203,21624.236,22295.387,20665.3,20403.736,20983.51,20896.547,20728.795,20757.467,21159.158,22898.684,24664.521,26645.896,29117.93
Cyprus,29944.99,30683.33,31310.633,31794.863,32746.312,33525.027,34459.56,35398.086,35781.203,34126.676,33699.277,32983.184,31689.201,29876.525,29452.89,30309.635,34065.84,36474.38,38621.637,41814.027
Czech_Republic,21229.297,21968.65,22373.178,23214.1,24326.219,25915.55,27562.285,28949.066,29504.229,27986.676,28592.133,29093.117,29062.318,28897.584,29437.486,30585.86,32544.898,35007.496,37185.832,39955.45
Denmark,42599.027,41360.53,41392.883,41501.562,42370.15,43336.363,44837.082,44985.684,44389.375,41943.207,42408.668,42728.57,42543.684,42416.55,42732.633,43314.773,45965.28,49056.31,51120.69,53396.527
Estonia,15341.596,16618.375,17762.492,19493.256,20811.328,22915.336,25476.29,27539.16,26381.943,22579.96,23035.025,24849.34,26246.549,27870.193,28767.346,29095.053,31234.795,33705.008,36679.562,39397.83
Ethiopia,620.8042,653.1378,644.41394,612.96106,676.45886,735.1935,792.77167,860.1242,927.58936,982.7707,1077.3528,1167.5343,1236.1031,1332.5234,1432.5922,1531.3677,1735.5729,1865.9269,1986.591,2133.6323
Finland,34290.117,35098.6,35614.25,36248.12,37555.44,38465.75,39881.04,41781.766,41892.418,38221.914,39208.31,40029.16,39557.33,39074.41,38642.69,38710.594,40924.727,43316.613,45277.824,47323.62
France,34969.273,35373.203,35508.77,35544.547,36259.06,36573.13,37184.78,37860.617,37719.457,36421.004,36968.72,37554.598,37508.426,37553.246,37353.836,37608.117,39517.953,41023.617,42902.547,46556.07
Georgia,3274.1543,3458.573,3672.255,4128.177,4426.7866,4914.7817,5446.5884,6200.34,6426.2646,6272.953,6747.8467,7328.671,7894.2837,8266.452,8756.901,9114.168,9692.882,10250.263,11009.566,11794.25
Germany,37396.86,37413.16,37338.19,37053.75,37542.43,37819.12,39266.09,40599.0,41112.918,38900.594,40546.742,42015.434,43035.51,42271.08,43552.875,44048.74,46793.61,49099.375,51101.46,53105.766
Greece,25226.146,26135.617,27048.623,28582.82,29927.354,29992.848,31570.422,32527.27,32322.332,30913.158,29176.434,26556.006,24848.2,24227.592,24550.062,24696.64,25390.76,26403.854,27338.512,28738.295
Hungary,17331.305,18009.906,18507.084,19327.846,20218.748,21066.611,21837.59,22028.22,22258.334,20733.328,20999.445,21424.385,21171.924,21750.877,22608.732,23319.78,24500.207,25825.332,27938.049,30239.902
Iceland,33653.406,34480.062,34327.38,35025.19,37574.387,39188.71,39889.68,42585.184,42418.13,40294.727,38904.637,39557.1,39813.17,40974.605,41261.477,42448.64,46140.965,48003.207,49360.176,51832.5
Iran,11808.376,11894.801,12664.874,13598.555,14020.2,14444.252,15097.021,16392.969,16384.004,16623.55,17548.543,18014.1,16609.127,16082.159,16553.832,16843.38,17855.027,18532.314,18304.166,17939.707
Ireland,39228.297,40811.69,42558.758,43294.53,44158.082,46086.09,47667.06,48702.13,46707.133,43679.72,43217.08,44135.746,44125.91,44646.363,46778.45,50181.16,52182.21,56805.363,61824.086,65561.8
Israel,25507.379,24958.174,24522.432,24185.12,24964.605,25596.12,26566.291,27733.3,27987.744,27684.379,28657.74,29544.957,29835.295,30227.324,30351.049,30512.486,32635.328,33704.953,34363.527,34854.574
Italy,36324.99,36966.227,36937.816,36794.58,37173.723,37337.58,37960.355,38287.477,37598.45,35329.16,36042.043,36223.215,35127.934,34148.266,33751.973,34030.92,36822.984,38343.734,39685.98,42234.277
Japan,32112.975,32183.73,32198.482,32669.12,33469.418,33966.97,34522.223,35365.51,34973.95,33013.805,34563.434,34617.97,35290.19,35850.18,35897.195,36116.117,35849.59,36598.094,37191.797,37362.457
Kenya,1889.8645,2055.997,2019.9987,2028.5233,2053.1523,2123.2488,2202.7576,2313.5586,2257.9438,2270.6206,2394.8591,2476.6016,2580.5728,2656.0786,2727.543,2807.3552,3002.3237,3222.7537,3408.6409,3744.9172
Kosovo,4884.2544,5121.499,5437.3496,5786.6763,6249.6035,6681.4155,7092.171,7557.8584,8049.6133,8014.1025,8158.2393,8341.262,8323.13,8530.977,8565.409,8739.162,9277.987,9716.709,10329.176,11195.084
Latvia,16261.421,17003.277,18552.213,20272.656,22772.469,25359.994,28266.02,31339.16,30530.457,26589.793,26161.52,28295.188,29797.041,31436.943,32480.805,33385.074,36286.574,38964.195,42331.71,45133.07
